Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
"Years Ended (In Millions, Except Per Share Amounts)","December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 27, 2025","December 28, 2024","December 28, 2024","December 28, 2024","December 30, 2023","December 30, 2023","December 30, 2023"
"Years Ended (In Millions, Except Per Share Amounts)",Amount,Amount,Amount,,% of Net Revenue 1,% of Net Revenue 1,Amount,Amount,% of Net Revenue 1,Amount,Amount,% of Net Revenue 1
Net revenue,$,"52,853",,,100.0,%,$,"53,101",100.0,$,"54,228",100.0
Cost of sales,"34,478","34,478",,,65.2,%,"35,756","35,756",67.3,"32,517","32,517",60.0
Gross profit,"18,375","18,375",,,34.8,%,"17,345","17,345",32.7,"21,711","21,711",40.0
Research and development,"13,774","13,774",,,26.1,%,"16,546","16,546",31.2,"16,046","16,046",29.6
"Marketing, general, and administrative","4,624","4,624",,,8.7,%,"5,507","5,507",10.4,"5,634","5,634",10.4
Restructuring and other charges,"2,191","2,191",,,4.1,%,"6,970","6,970",13.1,(62),(62),(0.1)
Operating income (loss),"(2,214)","(2,214)",,,(4.2),%,"(11,678)","(11,678)",(22.0),93,93,0.2
"Gains (losses) on equity investments, net",514,514,,,1.0,%,242,242,0.5,40,40,0.1
"Interest and other, net","3,257","3,257",,,6.2,%,226,226,0.4,629,629,1.2
Income (loss) before taxes,"1,557","1,557",,,2.9,%,"(11,210)","(11,210)",(21.1),762,762,1.4
Provision for (benefit from) taxes,"1,531","1,531",,,2.9,%,"8,023","8,023",15.1,(913),(913),(1.7)
Net income (loss),26,26,,,—,%,"(19,233)","(19,233)",(36.2),"1,675","1,675",3.1
Less: net income (loss) attributable to non-controlling interests,293,293,,,0.6,%,(477),(477),(0.9),(14),(14),—
Net income (loss) attributable to Intel,$,(267),,,(0.5),%,$,"(18,756)",(35.3),$,"1,689",3.1
Earnings (loss) per share attributable to Intel—diluted,$,(0.06),,,,,$,(4.38),,$,0.40,
