Column 1,Column 2,Column 3
Name Current Title,Age,Experience
Lip-Bu Tan,66,"Lip-Bu Tan has been our Chief Executive Officer since March 2025 and serves on the company’s Board of Directors. Mr. Tan previously served as Chief Executive Officer of Cadence Design Systems, a computational software company, from 2009 to December 2021, and as Executive Board Chair at Cadence from December 2021 to May 2023. Mr. Tan was previously a director of Intel from September 2022 until August 2024. Mr. Tan is the chairman of Walden International, an international venture capital firm he founded in 1987, and the founding managing partner of two other funds, Celesta Capital and Walden Catalyst Ventures. He is on the board of directors of Schneider Electric SE, a digital automation and energy management company. Mr. Tan holds a Bachelor of Science in Physics from Nanyang Technological University in Singapore, a Master of Science in Nuclear Engineering from the Massachusetts Institute of Technology and a Master of Business Administration from the University of San Francisco."
Chief Executive Officer,,"Lip-Bu Tan has been our Chief Executive Officer since March 2025 and serves on the company’s Board of Directors. Mr. Tan previously served as Chief Executive Officer of Cadence Design Systems, a computational software company, from 2009 to December 2021, and as Executive Board Chair at Cadence from December 2021 to May 2023. Mr. Tan was previously a director of Intel from September 2022 until August 2024. Mr. Tan is the chairman of Walden International, an international venture capital firm he founded in 1987, and the founding managing partner of two other funds, Celesta Capital and Walden Catalyst Ventures. He is on the board of directors of Schneider Electric SE, a digital automation and energy management company. Mr. Tan holds a Bachelor of Science in Physics from Nanyang Technological University in Singapore, a Master of Science in Nuclear Engineering from the Massachusetts Institute of Technology and a Master of Business Administration from the University of San Francisco."
,,"Lip-Bu Tan has been our Chief Executive Officer since March 2025 and serves on the company’s Board of Directors. Mr. Tan previously served as Chief Executive Officer of Cadence Design Systems, a computational software company, from 2009 to December 2021, and as Executive Board Chair at Cadence from December 2021 to May 2023. Mr. Tan was previously a director of Intel from September 2022 until August 2024. Mr. Tan is the chairman of Walden International, an international venture capital firm he founded in 1987, and the founding managing partner of two other funds, Celesta Capital and Walden Catalyst Ventures. He is on the board of directors of Schneider Electric SE, a digital automation and energy management company. Mr. Tan holds a Bachelor of Science in Physics from Nanyang Technological University in Singapore, a Master of Science in Nuclear Engineering from the Massachusetts Institute of Technology and a Master of Business Administration from the University of San Francisco."
,,"Lip-Bu Tan has been our Chief Executive Officer since March 2025 and serves on the company’s Board of Directors. Mr. Tan previously served as Chief Executive Officer of Cadence Design Systems, a computational software company, from 2009 to December 2021, and as Executive Board Chair at Cadence from December 2021 to May 2023. Mr. Tan was previously a director of Intel from September 2022 until August 2024. Mr. Tan is the chairman of Walden International, an international venture capital firm he founded in 1987, and the founding managing partner of two other funds, Celesta Capital and Walden Catalyst Ventures. He is on the board of directors of Schneider Electric SE, a digital automation and energy management company. Mr. Tan holds a Bachelor of Science in Physics from Nanyang Technological University in Singapore, a Master of Science in Nuclear Engineering from the Massachusetts Institute of Technology and a Master of Business Administration from the University of San Francisco."
Nagasubramaniyan Chandrasekaran,51,"Naga Chandrasekaran has been our Executive Vice President, Chief Technology and Operations Officer, and General Manager of Intel Foundry since September 2025. Mr. Chandrasekaran oversees technology development, manufacturing, customer engagement, and ecosystem operations for silicon, packaging, and test technologies. Before that he served as our Chief Technology and Operations Officer and Executive Vice President of Intel’s Foundry Technology and Manufacturing after originally joining Intel in August 2024 as the Executive Vice President of Foundry Manufacturing & Supply Chain. Prior to joining Intel, he worked at Micron Technology, Inc., a semiconductor manufacturing company, for 23 years, from October 2008 to August 2024, where he held several senior leadership positions, most recently as the Senior Vice President of Technology Development. He earned a Bachelor’s Engineering Degree in Mechanical Engineering from the University of Madras; a Master of Science Degree and a Doctorate in Mechanical Engineering from Oklahoma State University; a Master’s of Information and Data Science from the University of California, Berkeley; and dual executive Master of Business Administration degrees from the University of California, Los Angeles, and the National University of Singapore. Mr. Chandrasekaran is a member of the Board of Directors of Mobileye Global, Inc."
"Executive Vice President and Chief Technology and Operations Officer, General Manager of Intel Foundry",,"Naga Chandrasekaran has been our Executive Vice President, Chief Technology and Operations Officer, and General Manager of Intel Foundry since September 2025. Mr. Chandrasekaran oversees technology development, manufacturing, customer engagement, and ecosystem operations for silicon, packaging, and test technologies. Before that he served as our Chief Technology and Operations Officer and Executive Vice President of Intel’s Foundry Technology and Manufacturing after originally joining Intel in August 2024 as the Executive Vice President of Foundry Manufacturing & Supply Chain. Prior to joining Intel, he worked at Micron Technology, Inc., a semiconductor manufacturing company, for 23 years, from October 2008 to August 2024, where he held several senior leadership positions, most recently as the Senior Vice President of Technology Development. He earned a Bachelor’s Engineering Degree in Mechanical Engineering from the University of Madras; a Master of Science Degree and a Doctorate in Mechanical Engineering from Oklahoma State University; a Master’s of Information and Data Science from the University of California, Berkeley; and dual executive Master of Business Administration degrees from the University of California, Los Angeles, and the National University of Singapore. Mr. Chandrasekaran is a member of the Board of Directors of Mobileye Global, Inc."
,,"Naga Chandrasekaran has been our Executive Vice President, Chief Technology and Operations Officer, and General Manager of Intel Foundry since September 2025. Mr. Chandrasekaran oversees technology development, manufacturing, customer engagement, and ecosystem operations for silicon, packaging, and test technologies. Before that he served as our Chief Technology and Operations Officer and Executive Vice President of Intel’s Foundry Technology and Manufacturing after originally joining Intel in August 2024 as the Executive Vice President of Foundry Manufacturing & Supply Chain. Prior to joining Intel, he worked at Micron Technology, Inc., a semiconductor manufacturing company, for 23 years, from October 2008 to August 2024, where he held several senior leadership positions, most recently as the Senior Vice President of Technology Development. He earned a Bachelor’s Engineering Degree in Mechanical Engineering from the University of Madras; a Master of Science Degree and a Doctorate in Mechanical Engineering from Oklahoma State University; a Master’s of Information and Data Science from the University of California, Berkeley; and dual executive Master of Business Administration degrees from the University of California, Los Angeles, and the National University of Singapore. Mr. Chandrasekaran is a member of the Board of Directors of Mobileye Global, Inc."
,,"Naga Chandrasekaran has been our Executive Vice President, Chief Technology and Operations Officer, and General Manager of Intel Foundry since September 2025. Mr. Chandrasekaran oversees technology development, manufacturing, customer engagement, and ecosystem operations for silicon, packaging, and test technologies. Before that he served as our Chief Technology and Operations Officer and Executive Vice President of Intel’s Foundry Technology and Manufacturing after originally joining Intel in August 2024 as the Executive Vice President of Foundry Manufacturing & Supply Chain. Prior to joining Intel, he worked at Micron Technology, Inc., a semiconductor manufacturing company, for 23 years, from October 2008 to August 2024, where he held several senior leadership positions, most recently as the Senior Vice President of Technology Development. He earned a Bachelor’s Engineering Degree in Mechanical Engineering from the University of Madras; a Master of Science Degree and a Doctorate in Mechanical Engineering from Oklahoma State University; a Master’s of Information and Data Science from the University of California, Berkeley; and dual executive Master of Business Administration degrees from the University of California, Los Angeles, and the National University of Singapore. Mr. Chandrasekaran is a member of the Board of Directors of Mobileye Global, Inc."
April Miller Boise,57,"Ms. Miller Boise has been our Executive Vice President and Chief Legal Officer since July 2022 and Corporate Secretary since August 2022. Ms. Miller Boise leads the corporate affairs, policy, integrity, trade and legal functions, is a member of Intel's Executive Team, and is a key strategic partner to Intel's Board of Directors. Prior to joining Intel, Ms. Miller Boise was Executive Vice President and Chief Legal Officer at Eaton Corp., an intelligent power management company, from January 2020 to July 2022. Before joining Eaton in 2020, she was Senior Vice President, Chief Legal Officer, and Corporate Secretary at Meritor Inc., a manufacturer of powertrain solutions for commercial vehicles, later acquired by Cummins Inc. Ms. Miller Boise has more than 30 years of experience and has served in executive leadership roles at companies in various industries including semiconductors, aerospace, power management, automotive, climate control, financial services, and oil and gas. She serves on the Board of Directors of Trane Technologies, plc. Ms. Miller Boise holds a Juris Doctor from the University of Chicago Law School and a Bachelor of Business Administration from the University of Michigan."
