Column 1,Column 2,Column 3,Column 4
Index to Consolidated Financial Statements,Index to Consolidated Financial Statements,Index to Consolidated Financial Statements,Page
Reports of Independent Registered Public Accounting Firm,(PCAOB ID: 42 ),,57
Consolidated Statements of Operations,Consolidated Statements of Operations,Consolidated Statements of Operations,60
Consolidated Statements of Comprehensive Income (Loss),Consolidated Statements of Comprehensive Income (Loss),Consolidated Statements of Comprehensive Income (Loss),61
Consolidated Balance Sheets,Consolidated Balance Sheets,Consolidated Balance Sheets,62
Consolidated Statements of Cash Flows,Consolidated Statements of Cash Flows,Consolidated Statements of Cash Flows,63
Consolidated Statements of Stockholders' Equity,Consolidated Statements of Stockholders' Equity,Consolidated Statements of Stockholders' Equity,64
Notes to Consolidated Financial Statements,Notes to Consolidated Financial Statements,Notes to Consolidated Financial Statements,65
Basis,Basis,Basis,
Note 1: Basis of Presentation,Note 1: Basis of Presentation,Note 1: Basis of Presentation,65
Note 2: Accounting Policies,Note 2: Accounting Policies,Note 2: Accounting Policies,65
Performance and Operations,Performance and Operations,Performance and Operations,
Note 3: Operating Segments,Note 3: Operating Segments,Note 3: Operating Segments,72
Note 4: Non-Controlling Interests,Note 4: Non-Controlling Interests,Note 4: Non-Controlling Interests,75
Note 5: Earnings (Loss) Per Share and Stockholders' Equity,Note 5: Earnings (Loss) Per Share and Stockholders' Equity,Note 5: Earnings (Loss) Per Share and Stockholders' Equity,77
Note 6: Other Financial Statement Details,Note 6: Other Financial Statement Details,Note 6: Other Financial Statement Details,79
Note 7: Restructuring and Other Charges,Note 7: Restructuring and Other Charges,Note 7: Restructuring and Other Charges,81
Note 8: Income Taxes,Note 8: Income Taxes,Note 8: Income Taxes,83
"Investments, Long-Term Assets, and Debt","Investments, Long-Term Assets, and Debt","Investments, Long-Term Assets, and Debt",
Note 9: Investments,Note 9: Investments,Note 9: Investments,87
Note 10: Acquisitions and Divestitures,Note 10: Acquisitions and Divestitures,Note 10: Acquisitions and Divestitures,88
Note 11: Goodwill,Note 11: Goodwill,Note 11: Goodwill,89
Note 12: Identified Intangible Assets,Note 12: Identified Intangible Assets,Note 12: Identified Intangible Assets,90
Note 13: Borrowings,Note 13: Borrowings,Note 13: Borrowings,91
Note 14: Fair Value,Note 14: Fair Value,Note 14: Fair Value,94
Risk Management and Other,Risk Management and Other,Risk Management and Other,
Note 15: Accumulated Other Comprehensive Income (Loss),Note 15: Accumulated Other Comprehensive Income (Loss),Note 15: Accumulated Other Comprehensive Income (Loss),95
Note 16: Derivative Financial Instruments,Note 16: Derivative Financial Instruments,Note 16: Derivative Financial Instruments,95
Note 17: Retirement Benefit Plans,Note 17: Retirement Benefit Plans,Note 17: Retirement Benefit Plans,97
Note 18: Employee Equity Incentive Plans,Note 18: Employee Equity Incentive Plans,Note 18: Employee Equity Incentive Plans,100
Note 19: Commitments and Contingencies,Note 19: Commitments and Contingencies,Note 19: Commitments and Contingencies,102
Key Terms,Key Terms,Key Terms,106
Index to Supplemental Details,Index to Supplemental Details,Index to Supplemental Details,
Controls and Procedures,Controls and Procedures,Controls and Procedures,109
Exhibits,Exhibits,Exhibits,110
Form 10-K Cross-Reference Index,Form 10-K Cross-Reference Index,Form 10-K Cross-Reference Index,116
