Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
,Common Stock and Capital in Excess of Par Value,Common Stock and Capital in Excess of Par Value,Common Stock and Capital in Excess of Par Value,Common Stock and Capital in Excess of Par Value,Common Stock and Capital in Excess of Par Value,Common Stock and Capital in Excess of Par Value,Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Retained Earnings,Retained Earnings,Retained Earnings,Non-Controlling Interests,Non-Controlling Interests,Non-Controlling Interests,Total,Total,Total
"(In Millions, Except Per Share Amounts)",Number of Shares,Number of Shares,,Amount,Amount,Amount,Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Retained Earnings,Retained Earnings,Retained Earnings,Non-Controlling Interests,Non-Controlling Interests,Non-Controlling Interests,Total,Total,Total
"Balance as of December 31, 2022","4,137",,,$,"31,580",,$,( 562 ),,$,"70,405",,$,"1,863",,$,"103,286",
Net income (loss),—,,,—,—,—,—,—,—,"1,689","1,689",,( 14 ),( 14 ),,"1,675","1,675",
Other comprehensive income (loss),—,,,—,—,—,347,347,,—,—,—,—,—,,347,347,
Proceeds from sales of subsidiary shares and partner contributions,—,,,"1,620","1,620",,—,—,,—,—,,"2,385","2,385",,"4,005","4,005",
Employee equity incentive plans and other,107,,,"1,044","1,044",,—,—,—,—,—,—,—,—,,"1,044","1,044",
Share-based compensation,—,,,"3,088","3,088",,—,—,—,—,—,—,141,141,,"3,229","3,229",
Restricted stock unit withholdings,( 16 ),,,( 683 ),( 683 ),,—,—,—,150,150,,—,—,,( 533 ),( 533 ),
Cash dividends declared ($ 0.74 per share of common stock),—,,,—,—,—,—,—,—,"( 3,088 )","( 3,088 )",,—,—,,"( 3,088 )","( 3,088 )",
"Balance as of December 30, 2023","4,228",,,$,"36,649",,$,( 215 ),,$,"69,156",,$,"4,375",,$,"109,965",
Net income (loss),—,,,—,—,—,—,—,—,"( 18,756 )","( 18,756 )",,( 477 ),( 477 ),,"( 19,233 )","( 19,233 )",
Other comprehensive income (loss),—,,,—,—,—,( 496 ),( 496 ),,—,—,—,—,—,,( 496 ),( 496 ),
Net proceeds from partner contributions,—,,,"11,012","11,012",,—,—,—,—,—,—,"1,702","1,702",,"12,714","12,714",
Partner distributions,—,,,—,—,—,—,—,—,—,—,—,( 43 ),( 43 ),,( 43 ),( 43 ),
Employee equity incentive plans and other,123,,,988,988,,—,—,—,—,—,—,—,—,,988,988,
Share-based compensation,—,,,"3,162","3,162",,—,—,—,—,—,—,205,205,,"3,367","3,367",
Restricted stock unit withholdings,( 21 ),,,( 862 ),( 862 ),,—,—,—,231,231,,—,—,,( 631 ),( 631 ),
Cash dividends declared ($ 0.38 per share of common stock),—,,,—,—,—,—,—,—,"( 1,599 )","( 1,599 )",,—,—,,"( 1,599 )","( 1,599 )",
"Balance as of December 28, 2024","4,330",,,$,"50,949",,$,( 711 ),,$,"49,032",,$,"5,762",,$,"105,032",
Opening balance adjustment 1,—,,,—,—,,—,—,,49,49,,—,—,,49,49,
Net income (loss),—,,,—,—,,—,—,,( 267 ),( 267 ),,293,293,,26,26,
Other comprehensive income (loss),—,,,—,—,,824,824,,—,—,,—,—,,824,824,
Net proceeds from stock issuances and warrants 2,580,,,"11,835","11,835",,—,—,,—,—,,—,—,,"11,835","11,835",
Net proceeds from sales of subsidiary shares and partner contributions,—,,,59,59,,—,—,,—,—,,"5,970","5,970",,"6,029","6,029",
Partner distributions,—,,,—,—,,—,—,,—,—,,( 217 ),( 217 ),,( 217 ),( 217 ),
Employee equity incentive plans and other,101,,,771,771,,—,—,,—,—,,—,—,,771,771,
Share-based compensation,—,,,"2,163","2,163",,—,—,,—,—,,271,271,,"2,434","2,434",
Restricted stock unit withholdings,( 17 ),,,( 592 ),( 592 ),,—,—,,169,169,,—,—,,( 423 ),( 423 ),
"Balance as of December 27, 2025","4,994","4,994",,$,"65,185",,$,113,,$,"48,983",,$,"12,079",,$,"126,360",
