Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
(In Millions),Ireland SCIP,Ireland SCIP,Ireland SCIP,Arizona SCIP,Arizona SCIP,Mobileye,Mobileye,IMS Nano,IMS Nano,Total,Total
"Non-controlling interests as of Dec 31, 2022",$,—,,$,874,$,989,$,—,$,"1,863"
Partner contributions,—,—,,"1,511","1,511",—,—,—,—,"1,511","1,511"
Changes in equity of non-controlling interest holders,—,—,,—,—,848,848,167,167,"1,015","1,015"
Net income (loss) attributable to non-controlling interests,—,—,,( 26 ),( 26 ),1,1,11,11,( 14 ),( 14 )
"Non-controlling interests as of Dec 30, 2023",—,—,,"2,359","2,359","1,838","1,838",178,178,"4,375","4,375"
Partner contributions,—,—,,"1,702","1,702",—,—,—,—,"1,702","1,702"
Partner distributions,( 43 ),( 43 ),,—,—,—,—,—,—,( 43 ),( 43 )
Changes in equity of non-controlling interest holders,—,—,,—,—,205,205,—,—,205,205
Net income (loss) attributable to non-controlling interests,104,104,,( 173 ),( 173 ),( 371 ),( 371 ),( 37 ),( 37 ),( 477 ),( 477 )
"Non-controlling interests as of Dec 28, 2024",61,61,,"3,888","3,888","1,672","1,672",141,141,"5,762","5,762"
Partner contributions,—,—,,"5,108","5,108",—,—,—,—,"5,108","5,108"
Partner distributions,( 217 ),( 217 ),,—,—,—,—,—,—,( 217 ),( 217 )
Changes in equity of non-controlling interest holders,—,—,,—,—,"1,133","1,133",—,—,"1,133","1,133"
Net income (loss) attributable to non-controlling interests,268,268,,110,110,( 57 ),( 57 ),( 28 ),( 28 ),293,293
"Non-controlling interests as of Dec 27, 2025",$,112,,$,"9,106",$,"2,748",$,113,$,"12,079"
