Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
Years Ended ($ In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024","Dec 28, 2024","Dec 30, 2023","Dec 30, 2023","Dec 30, 2023"
Income (losses) before taxes:,,,,,,,,,
U.S.,$,"( 3,231 )",,$,"( 13,450 )","( 13,450 )",$,"( 4,749 )","( 4,749 )"
Non-U.S.,"4,788","4,788",,"2,241","2,241","2,241","5,511","5,511","5,511"
Total income before taxes,$,"1,557",,$,"( 11,210 )","( 11,210 )",$,762,762
Provision for (benefit from) taxes:,,,,,,,,,
Current:,,,,,,,,,
Federal,$,310,,$,600,600,$,538,538
State,( 18 ),( 18 ),,( 8 ),( 8 ),( 8 ),23,23,23
Non-U.S.,910,910,,"1,364","1,364","1,364",535,535,535
Total current provision for (benefit from) taxes,"1,202","1,202",,"1,956","1,956","1,956","1,096","1,096","1,096"
Deferred:,,,,,,,,,
Federal,245,245,,"6,192","6,192","6,192","( 2,048 )","( 2,048 )","( 2,048 )"
State,( 11 ),( 11 ),,67,67,67,( 21 ),( 21 ),( 21 )
Non-U.S.,95,95,,( 192 ),( 192 ),( 192 ),60,60,60
Total deferred provision for (benefit from) taxes,329,329,,"6,067","6,067","6,067","( 2,009 )","( 2,009 )","( 2,009 )"
Total provision for (benefit from) taxes,$,"1,531",,$,"8,023","8,023",$,( 913 ),( 913 )
Effective tax rate,98.3,98.3,%,71.6,71.6,%,( 119.8 ),( 119.8 ),%
