Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
,"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 27, 2025"
Year Ended ($ In Millions),Amount,Amount,Amount,,Percent,Percent
U.S. federal statutory tax,$,327,,,21.0,%
"State and local income tax, net of federal income tax effect",( 23 ),( 23 ),,,( 1.5 ),%
Foreign tax effects:,,,,,,
China:,,,,,,
Withholding tax,314,314,,,20.2,%
Other adjustments,( 51 ),( 51 ),,,( 3.3 ),%
Other foreign jurisdictions,( 205 ),( 205 ),,,( 13.2 ),%
Effects of cross-border tax laws:,,,,,,
Subpart F income inclusion,248,248,,,15.9,%
Foreign tax credit,( 707 ),( 707 ),,,( 45.4 ),%
Other,145,145,,,9.3,%
Tax credits:,,,,,,
Research and development credit,( 977 ),( 977 ),,,( 62.7 ),%
Changes in valuation allowances,"2,629","2,629",,,168.9,%
Nontaxable or nondeductible items:,,,,,,
Share-based compensation,120,120,,,7.7,%
Altera divestiture and deconsolidation,"( 1,357 )","( 1,357 )",,,( 87.2 ),%
Mark to market on equity securities,377,377,,,24.2,%
Other,97,97,,,6.2,%
Changes in unrecognized tax benefits,334,334,,,21.5,%
Other adjustments,260,260,,,16.7,%
Global effective tax,$,"1,531",,,98.3,%
