Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
Years Ended (In Millions),"Dec 27, 2025","Dec 27, 2025","Dec 27, 2025","Dec 28, 2024","Dec 28, 2024"
Changes in projected benefit obligation for pension benefit plans:,,,,,
Beginning projected benefit obligation,$,"2,646",,$,"2,825"
Service cost,35,35,,33,33
Interest cost,124,124,,122,122
Actuarial (gain) loss,( 137 ),( 137 ),,( 40 ),( 40 )
Currency exchange rate changes,249,249,,( 107 ),( 107 )
Plan curtailments,( 12 ),( 12 ),,( 4 ),( 4 )
Plan settlements,( 182 ),( 182 ),,( 143 ),( 143 )
Other,( 66 ),( 66 ),,( 40 ),( 40 )
Ending projected benefit obligation 1,"2,657","2,657",,"2,646","2,646"
Changes in fair value of plan assets for pension benefit plans:,,,,,
Beginning fair value of plan assets,"2,142","2,142",,"2,212","2,212"
Actual return on plan assets,34,34,,121,121
Currency exchange rate changes,178,178,,( 74 ),( 74 )
Plan settlements,( 182 ),( 182 ),,( 143 ),( 143 )
Other,26,26,,26,26
Ending fair value of plan assets 2,"2,198","2,198",,"2,142","2,142"
Net unfunded status of pension benefit plans,$,459,,$,504
Amounts recognized in the Consolidated Balance Sheets:,,,,,
Other long-term assets,$,217,,$,135
Current liabilities,$,12,,$,7
Other long-term liabilities,$,664,,$,632
"Accumulated other comprehensive loss (income), before tax 3",$,240,,$,337
Accumulated benefit obligation,$,"2,479",,$,"2,509"
