Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
Exhibit Number,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Filed or Furnished Herewith
Exhibit Number,Exhibit Description,Form,,File Number,Exhibit,Exhibit,Filing Date,Filed or Furnished Herewith
4.11,"Twelfth Supplemental Indenture to Open-Ended Indenture, dated as of December 8, 2017, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",10-K,,000-06217,4.2.13,4.2.13,2/16/2018,
4.12,"Thirteenth Supplemental Indenture, dated as of November 21, 2019, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,11/21/2019,
4.13,"Fourteenth Supplemental Indenture, dated as of February 13, 2020, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,4.1,2/13/2020,
4.14,"Fifteenth Supplemental Indenture, dated as of February 13, 2020, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.2,,2/13/2020,
4.15,"Sixteenth Supplemental Indenture, dated as of March 25, 2020, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,3/25/2020,
4.16,"Seventeenth Supplemental Indenture, dated as of August 12, 2021, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,8/12/2021,
4.17,"Eighteenth Supplemental Indenture, dated as of August 5, 2022, between Intel Corporation and Computershare Trust Company, National Association (as successor to Wells Fargo Bank, National Association), as trustee",8-K,,000-06217,4.1,,8/5/2022,
4.18,"Nineteenth Supplemental Indenture, dated as of February 10, 2023, between Intel Corporation and Computershare Trust Company, National Association (as successor to Wells Fargo Bank, National Association), as trustee",8-K,,000-06217,4.1,,2/10/2023,
4.19,"Twentieth Supplemental Indenture, dated as of February 21, 2024, between Intel Corporation and Computershare Trust Company, National Association (as successor to Wells Fargo Bank, National Association), as trustee",8-K,,000-06217,4.1,,2/21/2024,
4.20,Description of Intel Securities Registered under Section 12 of the Exchange Act,10-K,,000-06217,4.18,,1/27/2022,
10.1 †,"Intel Corporation 2006 Equity Incentive Plan, as amended and restated, effective May 6 , 202 5",S-8,,000-06217,99.1,,11/7/2025,
10.1.2 †,Intel Corporation Form of Notice of Grant - Restricted Stock Units,10-Q,,000-06217,10.1,,10/25/2018,
10.1.3 †,"Intel Corporation Form of Restricted Stock Unit Grant Agreement under the 2006 Equity Incentive Plan (for RSUs with retirement vesting terms granted to executives on or after January 30, 2019 and prior to January 1, 2025)",10-Q,,000-06217,10.3,,4/26/2019,
10.1.4 †,"Intel Corporation Form of Restricted Stock Unit Grant Agreement under the 2006 Equity Incentive Plan (for RSUs without retirement vesting terms granted to executives on or after January 30, 2019)",10-Q,,000-06217,10.4,,4/26/2019,
